instrument_key,instrument_name,strike_price,side,bid/ask,margin_required,premium_earned
NSE_FO|48009,NSE_INDEX|Nifty 50,25550.0,PE,1185.25,387803.8,118525.0
NSE_FO|48010,NSE_INDEX|Nifty 50,25600.0,CE,36.15,169953.7,3615.0
NSE_FO|48014,NSE_INDEX|Nifty 50,25600.0,PE,1238.4,393505.4,123840.00000000001
NSE_FO|48046,NSE_INDEX|Nifty 50,25650.0,CE,32.7,166392.1,3270.0000000000005
NSE_FO|48062,NSE_INDEX|Nifty 50,25650.0,PE,1259.45,396575.3,125945.0
NSE_FO|48074,NSE_INDEX|Nifty 50,25700.0,CE,28.8,163044.40000000002,2880.0
NSE_FO|48077,NSE_INDEX|Nifty 50,25700.0,PE,1330.4,404150.7,133040.0
NSE_FO|48078,NSE_INDEX|Nifty 50,25750.0,CE,25.75,161213.2,2575.0
NSE_FO|48079,NSE_INDEX|Nifty 50,25750.0,PE,1342.7,406797.6,134270.0
NSE_FO|48080,NSE_INDEX|Nifty 50,25800.0,CE,23.15,159392.7,2315.0
NSE_FO|48083,NSE_INDEX|Nifty 50,25800.0,PE,1415.9,415063.3,141590.0
NSE_FO|48084,NSE_INDEX|Nifty 50,25850.0,CE,21.6,157622.80000000002,2160.0
NSE_FO|48085,NSE_INDEX|Nifty 50,25850.0,PE,1445.2,417733.7,144520.0
NSE_FO|48087,NSE_INDEX|Nifty 50,25900.0,CE,19.8,155889.4,1980.0
NSE_FO|48088,NSE_INDEX|Nifty 50,25900.0,PE,1508.05,422915.4,150805.0
NSE_FO|48089,NSE_INDEX|Nifty 50,25950.0,CE,18.35,154105.9,1835.0000000000002
NSE_FO|48090,NSE_INDEX|Nifty 50,25950.0,PE,1532.8,427737.7,153280.0
NSE_FO|48091,NSE_INDEX|Nifty 50,26000.0,CE,16.35,152386.4,1635.0000000000002
NSE_FO|48092,NSE_INDEX|Nifty 50,26000.0,PE,1616.55,436436.3,161655.0
NSE_FO|48093,NSE_INDEX|Nifty 50,26050.0,CE,15.95,150704.6,1595.0
NSE_FO|48094,NSE_INDEX|Nifty 50,26050.0,PE,1633.65,438235.7,163365.0
NSE_FO|48095,NSE_INDEX|Nifty 50,26100.0,CE,14.35,148966.3,1435.0
NSE_FO|48099,NSE_INDEX|Nifty 50,26100.0,PE,1707.35,446543.2,170735.0
NSE_FO|48100,NSE_INDEX|Nifty 50,26150.0,CE,14.05,147304.1,1405.0
NSE_FO|48101,NSE_INDEX|Nifty 50,26150.0,PE,1723.9,449007.2,172390.0
NSE_FO|48102,NSE_INDEX|Nifty 50,26200.0,CE,12.35,145511.7,1235.0
NSE_FO|48103,NSE_INDEX|Nifty 50,26200.0,PE,1807.0,457661.5,180700.0
NSE_FO|48104,NSE_INDEX|Nifty 50,26250.0,CE,12.6,143884.7,1260.0
NSE_FO|48107,NSE_INDEX|Nifty 50,26250.0,PE,1839.8,466887.7,183980.0
NSE_FO|48108,NSE_INDEX|Nifty 50,26300.0,CE,10.6,142044.2,1060.0
NSE_FO|48109,NSE_INDEX|Nifty 50,26300.0,PE,1899.5,469141.2,189950.0
NSE_FO|48110,NSE_INDEX|Nifty 50,26350.0,CE,10.9,140414.6,1090.0
NSE_FO|48111,NSE_INDEX|Nifty 50,26350.0,PE,1916.8,469364.7,191680.0
NSE_FO|48114,NSE_INDEX|Nifty 50,26400.0,CE,10.8,138789.3,1080.0
